Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"clearText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), 0)",,,,2023-05-26 00:46:53,2023-05-26 00:46:54,0.633s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/Last Name - Field""), ""muslikah"", 0)",,,,2023-05-26 00:46:54,2023-05-26 00:46:55,1.286s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), 0)",,,,2023-05-26 00:46:55,2023-05-26 00:46:56,0.634s,PASSED
"setText(findTestObject(""Application/SauceDemo/Checkout/ZipPostal Code - Field""), ""1234"", 0)",,,,2023-05-26 00:46:56,2023-05-26 00:46:57,1.176s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Continue Checkout - Button""), 0)",,,,2023-05-26 00:46:57,2023-05-26 00:46:57,0.721s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Checkout Overview - Assertion""), 0)",,,,2023-05-26 00:46:57,2023-05-26 00:46:59,1.306s,PASSED
"scrollToText(""finish"", STOP_ON_FAILURE)",,,,2023-05-26 00:46:59,2023-05-26 00:47:04,5.522s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Finish - Button""), 0)",,,,2023-05-26 00:47:04,2023-05-26 00:47:05,0.387s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/CHECKOUT COMPLETE""), 0)",,,,2023-05-26 00:47:05,2023-05-26 00:47:06,1.467s,PASSED
"getText(findTestObject(""Application/SauceDemo/Checkout/Thankyou - Assertion finish order""), 0)",,,,2023-05-26 00:47:06,2023-05-26 00:47:06,0.300s,PASSED
"tap(findTestObject(""Application/SauceDemo/Checkout/Back Home - Button""), 0)",,,,2023-05-26 00:47:06,2023-05-26 00:47:07,0.465s,PASSED
,,,,,,,
Test Cases/5. Side Bar,,,,2023-05-26 00:47:07,2023-05-26 00:48:33,1m - 26.088s,PASSED
"startExistingApplication(""com.swaglabsmobileapp"")",,,,2023-05-26 00:47:08,2023-05-26 00:47:22,14.514s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:22,2023-05-26 00:47:25,2.977s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/AllItems-Button""), 0)",,,,2023-05-26 00:47:25,2023-05-26 00:47:27,2.126s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Products - Assert All Items""), 0)",,,,2023-05-26 00:47:27,2023-05-26 00:47:30,2.161s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Add to Cart""), 0)",,,,2023-05-26 00:47:30,2023-05-26 00:47:30,0.556s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Remove - Assert""), 0)",,,,2023-05-26 00:47:30,2023-05-26 00:47:31,1.065s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:31,2023-05-26 00:47:32,0.471s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/ResetApp-Button""), 0)",,,,2023-05-26 00:47:32,2023-05-26 00:47:34,1.926s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Add to Cart""), 0)",,,,2023-05-26 00:47:34,2023-05-26 00:47:36,2.099s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:36,2023-05-26 00:47:36,0.355s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/WebView-Button""), 0)",,,,2023-05-26 00:47:36,2023-05-26 00:47:38,2.028s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/WEBVIEW SELECTION""), 0)",,,,2023-05-26 00:47:38,2023-05-26 00:47:42,3.478s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Side Bar/https - field""), 0)",,,,2023-05-26 00:47:42,2023-05-26 00:47:42,0.287s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Go to site - Button""), 0)",,,,2023-05-26 00:47:42,2023-05-26 00:47:43,0.691s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Please provide a correct https url - Validation""), 0)",,,,2023-05-26 00:47:43,2023-05-26 00:47:44,1.390s,PASSED
"clearText(findTestObject(""Application/SauceDemo/Side Bar/https - field""), 0)",,,,2023-05-26 00:47:44,2023-05-26 00:47:45,0.610s,PASSED
"setText(findTestObject(""Application/SauceDemo/Side Bar/https - field""), ""https://www.saucedemo.com/"", 0)",,,,2023-05-26 00:47:45,2023-05-26 00:47:46,1.396s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Go to site - Button""), 0)",,,,2023-05-26 00:47:46,2023-05-26 00:47:47,0.739s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:47,2023-05-26 00:47:47,0.584s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/QRCode-Button""), 0)",,,,2023-05-26 00:47:47,2023-05-26 00:47:49,2.007s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/ScanQR - assert scanQR""), 0)",,,,2023-05-26 00:47:49,2023-05-26 00:47:53,3.912s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:53,2023-05-26 00:47:54,0.733s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/GeoLoc-Button""), 0)",,,,2023-05-26 00:47:54,2023-05-26 00:47:57,3.537s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/GeoLoc - Assert""), 0)",,,,2023-05-26 00:47:57,2023-05-26 00:47:58,0.896s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:47:58,2023-05-26 00:48:03,4.357s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Drawing-Button""), 0)",,,,2023-05-26 00:48:03,2023-05-26 00:48:06,3.569s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Drawing - Assert""), 0)",,,,2023-05-26 00:48:06,2023-05-26 00:48:10,3.456s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:48:10,2023-05-26 00:48:11,1.652s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/About-Button""), 0)",,,,2023-05-26 00:48:11,2023-05-26 00:48:14,2.818s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/About- Assert""), 0)",,,,2023-05-26 00:48:14,2023-05-26 00:48:21,6.847s,PASSED
pressBack(),,,,2023-05-26 00:48:21,2023-05-26 00:48:23,2.403s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Sidebar""), 0)",,,,2023-05-26 00:48:23,2023-05-26 00:48:27,3.094s,PASSED
"tap(findTestObject(""Application/SauceDemo/Side Bar/Logout-Button""), 0)",,,,2023-05-26 00:48:27,2023-05-26 00:48:30,3.165s,PASSED
"getText(findTestObject(""Application/SauceDemo/Side Bar/Login - Assert Logout""), 0)",,,,2023-05-26 00:48:30,2023-05-26 00:48:33,3.255s,PASSED
